tweet id,time of tweet,user id,text,user_id
1.54e+18,2022-07-03 21:12:34+00:00,7309052.0,"The truck was discovered Monday on a desolate road in San Antonio, where temperatures reached a high of 103 degrees… https://t.co/Nc7ja0OV3L",
1.54e+18,2022-07-03 21:09:46+00:00,157434429.0,Yhoo not me https://t.co/ZcQ7wJYK0K,
1.54e+18,2022-07-03 21:06:40+00:00,21320186.0,Watch Kelsea Ballerini's husband's epic reaction to her dancing in a bikini on TikTok. https://t.co/25gvvi9cll https://t.co/GHvehSHzrW,
1.54e+18,2022-07-03 21:06:36+00:00,7309052.0,"President Biden and the Democrats who have thin majorities in Congress have to explain 8.6% inflation, gas prices o… https://t.co/1Om8KYB1Oc",
1.54e+18,2022-07-03 21:02:58+00:00,1.06e+18,@Motso_Belk29 Football is Unpredictable watsa yhoo,
1.54e+18,2022-07-03 21:00:20+00:00,19380829.0,Trump's Truth Social struggled to hire tech workers because it wanted right-wing staffers and nobody wanted to take… https://t.co/QsI934NAad,
1.54e+18,2022-07-03 21:00:00+00:00,327961517.0,$TLSA First Crohn’s Enrollee In June #Crohns #smallcap #TILS - https://t.co/pjId1i78P9 https://t.co/5Tr2LsV0dt,
1.54e+18,2022-07-03 20:57:24+00:00,17852343.0,JoJo Siwa says she and girlfriend Kylie Prew are setting 'new boundaries' in rekindled relationship… https://t.co/6BFulf6Q3g,
1.54e+18,2022-07-03 20:53:44+00:00,1.44e+18,"https://t.co/ndCKvyvpFn

$COIN $COIN.n",
1.54e+18,2022-07-03 20:49:28+00:00,26363394.0,"Apply for our Local Heroes Grant! 🤗 https://t.co/oQpYLfGsTG

#grants #community #washingtonstate",
1.54e+18,2022-07-03 20:39:15+00:00,21320186.0,"Baby neck floats could lead to severe injury, death: FDA. https://t.co/oYEt6nilAF https://t.co/LuTZMrrxeJ",
1.54e+18,2022-07-03 20:39:05+00:00,19546277.0,Big food shakeup ‘already underway’ amid Kellogg's split — here's who could be next https://t.co/NNxqLpniqA by… https://t.co/1VCFKpNKoW,
1.54e+18,2022-07-03 20:38:31+00:00,2156800751.0,@Tee_Kah Yhoo ha. A,
1.54e+18,2022-07-03 20:37:13+00:00,1.31e+18,Yhoo 😭😍🥹🕯 https://t.co/UrdeQ2sDzx,
1.54e+18,2022-07-03 20:36:47+00:00,1.47e+18,@IdentityJoy @Yoco_ZA Yhoo wild🔥,
1.54e+18,2022-07-03 20:34:07+00:00,17852343.0,Tessa Thompson says Valkyrie's sexuality was a 'big topic of conversation' on 'Thor: Love and Thunder'… https://t.co/91pv8ipRMC,
1.54e+18,2022-07-03 20:33:38+00:00,539893081.0,Yhoo I have quite a few but End of Time and Formation https://t.co/eE6Z5ZljEz,
1.54e+18,2022-07-03 20:32:34+00:00,2429138195.0,@Rathipa_Rampedi 🤣 🤣 🤣 this just killed me yhoo,
1.54e+18,2022-07-03 20:30:00+00:00,201537863.0,$MNOV Decreasing the Risk of Developing Acute Respiratory Distress Syndrome #biotech #smallcap -… https://t.co/zdB0KIzXln,
1.54e+18,2022-07-03 20:29:43+00:00,7309052.0,"Amazon said it is temporarily capping purchases of the emergency contraceptive Plan B pill as demand surges.
https://t.co/y13xnaPsJj",
1.54e+18,2022-07-03 20:26:43+00:00,380306112.0,Yhoo umntu that I share with waits umbane ade abe koo 8 units ukuze awuthenge sana when its her turn. Nakhona I hav… https://t.co/Zcijzoz6ot,
