tweet id,time of tweet,user id,text
1.54E+18,2022-07-05 23:57:59+00:00,1.43E+18,Makhadzi is winning not even umona wenu can stop that gil yhoo let's get married I need that wining spirit in my life
1.54E+18,2022-07-05 23:49:54+00:00,1.27E+18,@PridgeWessea @1717mule @Sketchyjgaming @JenCages @CivilLost @SoyBoyRoy1 @schmevilagain @UseLogicPlease1… https://t.co/D1QyDRxosQ
1.54E+18,2022-07-05 23:42:37+00:00,1.39E+18,"@bubblezsupreme Yhoo, busy wth?"
1.54E+18,2022-07-05 23:21:41+00:00,7.01E+17,i can really forget about love if that’s the case😭 and i’m retiring from meeting new people after next year😭🤚🏾 yhoo ha.a sana ndiphelelwe
1.54E+18,2022-07-05 23:15:26+00:00,19546277,Polestar CEO: ‘Prepared to deliver’ on EV growth plan following stock debut https://t.co/bW8Mgf02Q3 by @Pras_S https://t.co/Gtc32Vd2dp
1.54E+18,2022-07-05 23:10:17+00:00,1.12E+18,@PutinSideChick @_ShaunKeyz I understand that Yhoo 🥺🥺
1.54E+18,2022-07-05 23:02:59+00:00,2798623182,A full-season suspension would push Deshaun Watson's entire contact back by a year https://t.co/lVOnoEe824
1.54E+18,2022-07-05 23:02:06+00:00,1.29E+18,@Nopea45 @Kea91492014 @PretoriaProudly Yhoo istress sabo right now. https://t.co/GPQ2IhCL3F
1.54E+18,2022-07-05 23:00:00+00:00,7302282,"Bennedict Mathurin is ready for ALL THE SMOKE in the NBA and called out LeBron James 👀

How do you think this take… https://t.co/qBLGzQ0Adf"
1.54E+18,2022-07-05 22:58:33+00:00,1.44E+18,Yhoo ha.a😂 https://t.co/M8Szt32wJi
1.54E+18,2022-07-05 22:35:42+00:00,9.59E+17,"My fave 🔥🔥🔥🔥yhoo I know how to choose angizisoli tuu it pleases me 
#LiboNjomba https://t.co/3fUMHrJAgG"
1.54E+18,2022-07-05 22:30:19+00:00,1.17E+18,@cnehshuga I'd literally pass out yhoo😭😭
1.54E+18,2022-07-05 22:19:53+00:00,7309052,"A U.S. Navy destroyer sunk during World War II has been found nearly 7,000 meters (23,000 feet) below sea level off… https://t.co/2yUJp8Gskr"
1.54E+18,2022-07-05 22:16:27+00:00,19546277,JPMorgan Chase &amp; Co will cover travel expenses for U.S.-based employees who need to travel more than 50 miles to ge… https://t.co/j2peWpNH3W
1.54E+18,2022-07-05 22:14:40+00:00,1.49E+18,@GontseKwinda Like yhoo...#ThembaBroly https://t.co/dKMCapjfWv
1.54E+18,2022-07-05 22:12:18+00:00,1.40E+18,@lebogang_mzansi @Fifi_Feels Yhoo this clap back😂😂👻
1.54E+18,2022-07-05 22:11:34+00:00,8.36E+17,Getting out of bed to go pee in this cold yhoo😥😥😥😭
1.54E+18,2022-07-05 22:00:12+00:00,19380829,"""It is no small thing, physically nor emotionally.""

Sharon Stone has suffered nine miscarriages, she revealed. https://t.co/OhCDJaxuWB"
1.54E+18,2022-07-05 21:56:22+00:00,263377556,@PinkerbellPixie Nope. https://t.co/Kg9wHbCGWA
1.54E+18,2022-07-05 21:53:26+00:00,1.35E+18,@penelope_zinhle @Chantel997 What are you talking about?? Hay Sisi yhoo uyatsha 😂🤣😂💔
1.54E+18,2022-07-05 21:43:55+00:00,45692284,"Jaw-dropping indeed. The average American age 65 or older has an average income of only $38,515 dollars and an aver… https://t.co/2LkfAsvPnm"
1.54E+18,2022-07-05 21:42:47+00:00,1.10E+18,@Waffles03539339 Yhoo Venus 🥴🥴
1.54E+18,2022-07-05 21:42:03+00:00,17852343,"Dwayne 'The Rock' Johnson shares shredded Instagram selfie: 'I’ve always been crazy, but it’s kept me from going in… https://t.co/8E8xjnbCFh"
1.54E+18,2022-07-05 21:41:32+00:00,1.40E+18,Yhoo this clap back😭😭🙆🏽‍♂️ https://t.co/qgdgTIOpCk
1.54E+18,2022-07-05 21:35:43+00:00,1.25E+18,"Samkelo go check Kabelo Mabalane's ✨✨✨video with his daughter..

""Yhoo man yhoo man yhoo..."" 🖌️🖌️"
1.54E+18,2022-07-05 21:21:49+00:00,362629799,Yhoo zininzi 😂😂😂 https://t.co/pq468edNt6
1.54E+18,2022-07-05 21:19:27+00:00,1.22E+18,@ontiretse27 I was screaming yhoo
1.54E+18,2022-07-05 21:18:15+00:00,1.39E+18,@ThongaLesley Yhoo these thugs never saw that coming
1.54E+18,2022-07-05 21:17:44+00:00,1.03E+18,@Waffles03539339 @herrealself Yhoo Facebook is vile!😩😩😩
1.54E+18,2022-07-05 21:14:54+00:00,17852343,"Amber Heard won't settle with Johnny Depp, will appeal verdict https://t.co/TF6JPSH871 https://t.co/iVHOSnn0dj"
1.54E+18,2022-07-05 21:12:53+00:00,9.11E+17,@Mazithi_Zee Yhoo abo babuya for u defend_a no brag_a qhaa https://t.co/TXr7VNz5dE
1.54E+18,2022-07-05 21:12:19+00:00,1.47E+18,@SibongileLupupa Yhoo sbongile is  I'm freaking out mawucabanga will the album be number one on billboard?
1.54E+18,2022-07-05 21:11:32+00:00,21320186,Olivia Munn shares an update about baby Malcolm: 'Big day for us' https://t.co/HW1vbf7SCo https://t.co/j554QpQjQq
1.54E+18,2022-07-05 21:07:07+00:00,9.11E+17,@KB_Ramasimong Bathong focus on your faves 🙄you always have something to say yhoo uyadika
1.54E+18,2022-07-05 21:05:07+00:00,301319991,Ranger is the best on the road Yhoo
1.54E+18,2022-07-05 21:04:27+00:00,1.43E+18,@Havana_Bloom Yhoo! What a tragedy !
1.54E+18,2022-07-05 21:03:36+00:00,7309052,U.S. Deputy Treasury Secretary Wally Adeyemo traveled to Turkey this week where he discussed Russia's invasion of U… https://t.co/48XFpCYtrY
1.54E+18,2022-07-05 21:03:21+00:00,2798623182,Jimmy Garoppolo will be cleared to throw soon https://t.co/Fu5yTWKd72
1.54E+18,2022-07-05 21:03:11+00:00,1172167466,@MsCleopatra_ Yhoo mna I thought 13 hours was a lot kanti some bafika ko 26 hours😭😭
1.54E+18,2022-07-05 21:01:59+00:00,38392105,"""9 things college mental health counselors wish parents understood""

The latest from our #HigherEducationNewsBrief… https://t.co/qLEhIyhb3B"
1.54E+18,2022-07-05 21:00:50+00:00,1.32E+18,@GugulethuSikho7 Again 👀 yhoo
1.54E+18,2022-07-05 20:54:04+00:00,1.53E+18,@InfinityBars99 Yhoo sorry broo
1.54E+18,2022-07-05 20:53:59+00:00,1397876874,@thobile_sn @jah_vinny_23 Yhoo that one 🙆🙆
1.54E+18,2022-07-05 20:51:21+00:00,1.50E+18,@Blasian_Barb1e Yhoo the dress it's a no
1.54E+18,2022-07-05 20:51:21+00:00,7.30E+17,"@sethuwamajwe1 Hai Yhoo no cuddles... sex fela, then something comes up at work, home, grandmothers place etc... https://t.co/a9O8ObuSjl"
1.54E+18,2022-07-05 20:47:23+00:00,1.23E+18,@llwand0 Yhoo hay marn they served us good music.
1.54E+18,2022-07-05 20:40:11+00:00,1.49E+18,@Keoi_In_Tech Yhoo! You weren't joking about the electricity coming back at 00:00😩
1.54E+18,2022-07-05 20:29:52+00:00,7.27E+17,@khuliso_Neels Yhoo 🤣🤣🤣😭😭
1.54E+18,2022-07-05 20:29:40+00:00,1.43E+18,Yhoo iron man on the stage ...😂#DstvMVCA
1.54E+18,2022-07-05 20:29:24+00:00,7302282,"Astros throw combined no-hitter against the Yankees in the Bronx 😱

➡️ https://t.co/zfWUw5J4aq https://t.co/AFMlpEmdIU"
1.54E+18,2022-07-05 20:27:12+00:00,455007363,"Cristian Javier was dominant, and Hector Neris and Ryan Pressly maintained that momentum as the Astros threw a comb… https://t.co/k6dCECuMbm"
1.54E+18,2022-07-05 20:23:51+00:00,1.13E+18,"These small changes can add up to big savings over time. 

https://t.co/eHEikEfiSo"
1.54E+18,2022-07-05 20:23:41+00:00,1.29E+18,"@TebogoMokubung1 Yhoo even if I wanted to join you,that running can kill me real death."
